SKU,Product Name,consumer_price,retailer_price,wholeseller_price,hsn code,quantity,tax_class,Brand Name,Category Name,Car Make
1001,Foam ADH Tape 10m X 8mm,,17.79,17.79,3919,,18,Hals Blue,,
1002,Foam ADH Tape 10m X 12mm,,26.27,26.27,3919,,18,Hals Blue,,
1003,Foam ADH Tape 10m X 24mm,,52.54,52.54,3919,,18,Hals Blue,,
1004,Foam ADH Tape 8m X 12mm,,12.28,12.28,3919,,18,Hals Blue,,
1005,Foam ADH Tape 8m X 24mm,,24.57,24.57,3919,,18,Hals Blue,,
1101,Squeegee 2 X 1Iota,,16.94,16.94,9603,,18,Iota,,
1102,Squeegee Handle Iota,,22.88,22.88,9603,,18,Iota,,
1103,Squeegee Prim Iota,,41.52,41.52,9603,,18,Iota,,
1104,Squeegee HVR218 Iota,,55.08,55.08,9603,,18,Iota,,
1201,Steering Cover PU Cult,,82.03,82.03,8708,,28,Cult,,
1202,Steering Cover PU Dotted Cult,,82.03,82.03,8708,,28,Cult,,
1203,Steering Cover Premium Leather Cult,,312.5,312.5,8708,,28,Cult,,
1204,Neck Rest Regular Cult,,226.56,226.56,8708,,28,Cult,,
1205,Neck Rest Slim Cult,,285.15,285.15,8708,,28,Cult,,
1206,Cushion Kit Cult,,566.4,566.4,8708,,28,Cult,,
1207,Primer Super Dry Cult,,74.21,74.21,3919,,18,Cult,,
1301,Bumper Protector Old Swift ASI,,97.65,97.65,8708,,28,ASI,,
1302,Bumper Protector New Swift ASI,,187.5,187.5,8708,,28,ASI,,
1303,Bumper Protector New Swift with Reflector ASI,,195.31,195.31,8708,,28,ASI,,
1304,Bumper Protector Old Dezire ASI,,175.78,175.78,8708,,28,ASI,,
1305,Bumper Protector New Dezire ASI,,199.21,199.21,8708,,28,ASI,,
1306,Bumper Protector Dzire 2017 ASI,,343.75,343.75,8708,,28,ASI,,
1307,Bumper Protector New WagonR ASI,,148.43,148.43,8708,,28,ASI,,
1308,Bumper Protector Alto/800 ASI,,148.43,148.43,8708,,28,ASI,,
1309,Bumper Protector Ertiga ASI,,148.43,148.43,8708,,28,ASI,,
1310,Bumper Protector Celerio ASI,,148.43,148.43,8708,,28,ASI,,
1311,Bumper Protector Ciaz ASI,,187.5,187.5,8708,,28,ASI,,
1312,Bumper Protector Brezza ASI,,160.15,160.15,8708,,28,ASI,,
1313,Bumper Protector Baleno ASI,,203.12,203.12,8708,,28,ASI,,
1314,Bumper Protector Kwid ASI,,250,250,8708,,28,ASI,,
1315,Bumper Protector Old Amaze ASI,,328.12,328.12,8708,,28,ASI,,
1316,Bumper Protector New Amaze ASI,,97.65,97.65,8708,,28,ASI,,
1317,Bumper Protector Old Toyota ASI,,97.65,97.65,8708,,28,ASI,,
1318,Bumper Protector Fortuner ASI,,187.5,187.5,8708,,28,ASI,,
1319,Bumper Protector Universal ASI,,187.5,187.5,8708,,28,ASI,,
1320,Bumper Protector Honda City ASI,,234.37,234.37,8708,,28,ASI,,
1321,Bumper Protector Honda WRV ASI,,523.43,523.43,8708,,28,ASI,,
1322,Bumper Protector Pearl ASI,,242.18,242.18,8708,,28,ASI,,
1323,Bumper Protector Shark ASI,,164.06,164.06,8708,,28,ASI,,
1324,Bumper Protector Scratch Guard ASI,,281.25,281.25,8708,,28,ASI,,
1325,Bumper Protector Samurai ASI,,50.78,50.78,8708,,28,ASI,,
1326,Bumper Protector Ninja ASI,,58.59,58.59,8708,,28,ASI,,
1327,Bumper Protector Aero ASI,,58.59,58.59,8708,,28,ASI,,
1328,Bumper Protector Honda Amaze OEM ASI,,195.31,195.31,8708,,28,ASI,,
1401,Car Paste Wax 110 grams Phoenix1,,101.56,101.56,8708,,28,Phoenix1,,
1402,Car Paste Wax 230 grams Phoenix1,,171.87,164.06,8708,,28,Phoenix1,,
1403,Car Paste Wax 340 grams Phoenix1,,210.93,203.12,8708,,28,Phoenix1,,
1404,Car Rubbing Compound 283 grams Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1405,Car Scratch Repair Mark-Out Pen Phoenix1,,222.65,214.84,8708,,28,Phoenix1,,
1406,Car Wash & Wax 295ml Phoenix1,,117.18,113.28,8708,,28,Phoenix1,,
1407,Car Wash & Wax 473ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1408,Car Mark-Out Scratch Remover 295ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1409,Car Lush Leather Cleaner 295ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1410,Car Metallic Wax 295ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1411,Car Liquid Wax 295ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1412,Car Interior Protectant Spray 295ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1413,Step 1- Car Rubbing Compound 945ml Phoenix1,,355.46,347.65,8708,,28,Phoenix1,,
1414,Step 2- Car Liquid Wax Phoenix1,,355.46,347.65,8708,,28,Phoenix1,,
1415,Glass Cleaner 475ml Phoenix1,,148.43,140.62,8708,,28,Phoenix1,,
1416,Car Spray Wax 710 ml Phoenix1,,242.18,234.37,8708,,28,Phoenix1,,
1417,Car Wheel Cleaner 710 ml Phoenix1,,242.18,234.37,8708,,28,Phoenix1,,
1418,Car Tire Shine Pitch Black Phoenix1 710ml,,242.18,234.37,8708,,28,Phoenix1,,
1419,Vacuum Cleaner - Turbo 506S Phoenix1,,449.21,449.21,8708,,28,Phoenix1,,
1420,Vacuum Cleaner - Turbo 5305 Phoenix1,,859.37,859.37,8708,,28,Phoenix1,,
1421,Vacuum Cleaner - 5300A Phoenix1,,1054.68,1054.68,8708,,28,Phoenix1,,
1422,Air Compressor Tire Inflator YD-580 Phoenix1,,781.25,781.25,8708,,28,Phoenix1,,
1423,Cleaning Cloth Microfiber Phoenix 1,,57.14,57.14,6307,,5,Phoenix1,,
1424,Cloth Duster Glove Phoenix 1,,109.52,109.52,6307,,5,Phoenix1,,
1425,Microfiber Cloth (set of 9),,314.28,42.96,6307,,5,Phoenix1,,
2701,Cleaning Sponge,,69.49,69.49,9603,,18,Others,,
2702,Two Way Cleaner,,110.16,110.16,9603,,18,Others,,
1501,Storage Box for tissues ECO,,142.85,142.85,4819,,12,Eco Leatherette,,
1601,Storage Box for Tissue ORIGAMI,,31.69,31.69,4819,,12,Origami,,
1006,Perfume Hanging Forever Hals Blue,,10.93,10.93,3303,,28,Hals Blue,,
1701,Perfume Hanging Maple Land,,21.87,21.87,3303,,28,Maple Land,,
,Perfume Hanging Little Tree,,,,3303,,28,Little Tree,,
1801,Anti-slip Mat Savros,,12.5,12.5,8708,,28,Savros,,
1007,Cigarette Lighter Hals Blue,,85.93,85.93,8708,,28,Hals Blue,,
1008,Cigarette Lighter Socket Hals Blue,,128.9,128.9,8708,,28,Hals Blue,,
1901,Horn Thai,,265.62,265.62,8708,,28,Thai Horn,,
2001,Fire Extinguishers Help,,175.78,175.78,8424,,28,Help,,
2101,Mobile Charger Micro USB 2.1A Titoni,,187.5,187.5,8504,,28,Titoni,,
2102,Mobile Charger I Phone Titoni,,187.5,187.5,8504,,28,Titoni,,
2103,Mobile Charger Smart Titoni,,74.21,74.21,8504,,28,Titoni,,
2104,Mobile Charger 6 in 1 Titoni,,78.12,78.12,8504,,28,Titoni,,
2105,Mobile Charger 6 in 1 Galaxy Titoni,,78.12,78.12,8504,,28,Titoni,,
2106,Mobile Charger 6 in USB Titoni,,82.03,82.03,8504,,28,Titoni,,
2107,Mobile Charger 7 x1 Titoni,,85.93,85.93,8504,,28,Titoni,,
2108,Mobile Charger 9 x 1 Titoni,,93.75,93.75,8504,,28,Titoni,,
2109,Mobile Charger 9 x 1 USB Titoni,,105.46,105.46,8504,,28,Titoni,,
2110,Data Cable 2 in 1 Titoni,,128.9,128.9,8504,,28,Titoni,,
2111,Switch Rocker Black Titoni,,29.68,29.68,8504,,28,Titoni,,
2112,Switch Rocker with Light Titoni,,33.59,33.59,8504,,28,Titoni,,
